MAIN_ID ID_NAME IDS ID_NGC ID_M ID_HD RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V
"NGC    19" "" "NGC    19|IRAS 00080+3242|Ka  18|LEDA     759|MAPS-PP O-1257-48106|2MASX J00104087+3258592|MCG+05-01-046|PSCz Q00080+3242|UGC    98|UZC J001040.9+325858|Z 0008.0+3243|Z 499-65|[CHM2007] HDC    4 J001040.87+3258592|[CHM2007] LDC    4 J001040.87+3258592" "NGC 19" "" "" "00 10 40.874" "+32 58 59.20" "Galaxy in Group of Galaxies" "" "" 0.0160180 ""
"NGC    20" "" "NGC    20|LEDA     679|MAPS-PP O-1257-37278|2MASX J00093270+3318310|MCG+05-01-036|UGC    84|UZC J000932.7+331831|Z 498-82|Z 499-54|Z 0006.9+3303|[CHM2007] LDC    4 J000932.70+3318310|[CHM2007] HDC    4 J000932.70+3318310" "NGC 20" "" "" "00 09 32.704" "+33 18 31.09" "Galaxy in Group of Galaxies" "" "" 0.0166010 ""
"NGC    22" "" "NGC    22|ALFALFA 2-24|IRAS F00072+2733|LEDA     690|MAPS-PP O-1257-326371|2MASX J00094817+2749564|MCG+05-01-039|UGC    86|UZC J000948.2+274956|Z 499-55|Z 0007.2+2734|[CHM2007] LDC    5 J000948.17+2749564" "NGC 22" "" "" "00 09 48.174" "+27 49 56.45" "Galaxy in Group of Galaxies" "" "" 0.0276760 ""
"NGC    23" "" "NGC    23|ALFALFA 4-220|BWE 0007+2538|GB6 B0007+2538|87GB 000717.6+253820|IRAS 0007+286P15|IRAS F00073+2538|IRAS 00073+2538|JCMTSE J000953.3+255525|JCMTSF J000953.3+255525|KUG 0007+256|LEDA     698|2MASX J00095341+2555254|MCG+04-01-033|Mrk  545|NVSS J000953+255526|PSCz Q00073+2538|SDSS J000953.42+255525.7|SDSS J000953.42+255525.6|UGC    89|UZC J000953.4+255526|Z 477-62|Z 478-34|Z 0007.3+2539|[BTW2003] J0010+2557|[CAB95] IRAS F00073+2538|[DC78] UGC    89|[M98c] 000718.6+253842" "NGC 23" "" "" "00 09 53.411" "+25 55 25.46" Galaxy "" "" 0.0152350 ""
"NGC    24" "" "NGC    24|AGC  20114|AM 0007-251|6dFGS gJ000956.2-245752|ESO 472-16|ESO-LV 472-0160|HIPASS J0009-24|IRAS 00073-2514|IRAS F00074-2514|LEDA     701|2MASX J00095654-2457472|MCG-04-01-018|2MFGC 135|PSCz Q00073-2514|RR95   4a|SGC 000724-2514.4|UGCA   2|[CHM2007] LDC   26 J000956.54-2457472|[CHM2007] HDC    7 J000956.54-2457472|[M98c] 000724.0-251424" "NGC 24" "" "" "00 09 56.542" "-24 57 47.27" "Galaxy in Group of Galaxies" "" "" 0.0018370 11.579999923706055
"NGC    25" "" "NGC    25|APMBGC 149-054+121|6dFGS gJ000959.3-570115|ESO 149-19|ESO-LV 149-0190|LEDA     706|2MASX J00095929-5701148|PKS J0010-5701|PKS 0007-572|PMN J0009-5701|SGC 000730-5717.9|SUMSS J000958-570115|[CHM2007] HDC    5 J000959.29-5701148|[CHM2007] LDC    7 J000959.29-5701148|[LPS2014] 002.4960-57.0216|[PL95] J000959.04-570117.7" "NGC 25" "" "" "00 09 59.290" "-57 01 14.90" "Brightest galaxy in a Cluster (BCG)" "" "" 0.0319800 15.5
"NGC    26" "" "NGC    26|ALFALFA 4-221|IRAS F00078+2533|IRAS 00078+2533|KUG 0007+255|LEDA     732|2MASX J00102587+2549544|MCG+04-01-034|PSCz Q00078+2533|SDSS J001025.87+254954.7|UGC    94|UZC J001025.8+254955|Z 477-64|Z 478-36|Z 0007.8+2533|[M98c] 000751.3+253316" "NGC 26" "" "" "00 10 25.878" "+25 49 54.47" "Galaxy in Pair of Galaxies" "" "" 0.0153170 ""
"NGC    27" "" "NGC    27|IRAS 00079+2843|IRAS F00079+2842|ISOSS J00104+2858|KPG   3b|LEDA     742|MAPS-PP O-1257-271300|2MASX J00103277+2859464|MCG+05-01-044|PSCz Q00079+2843|UGC    96|UZC J001032.9+285946|Z 499-63|Z 0007.9+2844|[CHM2007] LDC   12 J001032.77+2859464|[SLK2004] 17" "NGC 27" "" "" "00 10 32.776" "+28 59 46.47" "Galaxy in Group of Galaxies" "" "" 0.0234300 ""
"NGC    28" "" "NGC    28|APMBGC 149-058+119|6dFGS gJ001025.2-565921|LEDA     730|2MASX J00102524-5659209|SGC 000756-5716.2|[CHM2007] HDC    5 J001025.24-5659209|[CHM2007] LDC    7 J001025.24-5659209" "NGC 28" "" "" "00 10 25.245" "-56 59 20.93" "Galaxy in Group of Galaxies" "" "" 0.0321600 ""
"NGC    29" "" "NGC    29|IRAS F00081+3304|IRAS 00082+3304|Ka  19|LEDA     767|MAPS-PP O-1257-37773|2MASX J00104688+3321102|MCG+05-01-048|PSCz Q00082+3304|UGC   100|UZC J001046.9+332110|Z 499-66|Z 0008.1+3305|[BTW2003] J0011+3319|[CHM2007] LDC    4 J001046.88+3321102|[CHM2007] HDC    4 J001046.88+3321102" "NGC 29" "" "" "00 10 46.886" "+33 21 10.22" "Galaxy in Group of Galaxies" "" "" 0.0158010 ""
