MAIN_ID ID_NAME IDS ID_NGC ID_M ID_HD RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V
"NGC  1561" "" "NGC  1561|CAIRNS J042301.09-155044.3|6dFGS gJ042301.1-155045|LEDA   15005|2MASX J04230107-1550445|MCG-03-12-006|NPM1G -15.0227|[CHM2007] LDC  296 J042301.07-1550445" "NGC 1561" "" "" "04 23 01.071" "-15 50 44.57" "Galaxy in Group of Galaxies" "" "" 0.0300700 ""
"NGC  1562" "" "NGC  1562|CAIRNS J042147.59-154519.6|6dFGS gJ042147.6-154520|LEDA   14956|2MASX J04214762-1545198|NPM1G -15.0224|[CHM2007] LDC  296 J042147.62-1545198" "NGC 1562" "" "" "04 21 47.620" "-15 45 19.82" "Galaxy in Group of Galaxies" "" "" 0.0307400 ""
"NGC  1563" "" "NGC  1563|CAIRNS J042253.94-154357.9|6dFGS gJ042254.0-154357|IRAS 04204-1546|LEDA   15000|2MASX J04225393-1543574|MCG-03-12-005|NPM1G -15.0225" "NGC 1563" "" "" "04 22 53.932" "-15 43 57.44" "Galaxy in Cluster of Galaxies" "" "" 0.0311900 ""
"NGC  1564" "" "NGC  1564|CAIRNS J042301.00-154420.2|6dFGS gJ042301.0-154420|LEDA   15004|2MASX J04230094-1544195|NPM1G -15.0226" "NGC 1564" "" "" "04 23 00.943" "-15 44 19.57" "Galaxy in Cluster of Galaxies" "" "" 0.0307000 ""
"NGC  1565" "" "NGC  1565|CAIRNS J042323.48-154440.6|LEDA   15015|2MASX J04232345-1544396|MCG-03-12-007" "NGC 1565" "" "" "04 23 23.454" "-15 44 39.62" "Galaxy in Cluster of Galaxies" "" "" 0.0306700 ""
"NGC  1566" "" "NGC  1566|ACT-S J042000-545622|ACT-S J041959-545618|1E 0418.9-5503|2E   988|2E 0418.9-5503|1ES 0418-55.0|ESO 157-20|ESO-LV 157-0200|FAUST  547|HIPASS J0419-54|IRAS F04188-5503|IRAS 04189-5503|ISOSS J04199-5458|LEDA   14897|2MASX J04200041-5456161|MBG 04189-5503|PBC J0419.7-5456|PKS 0418-550|PKS J0420-5455|PMN J0419-5455|PSCz Q04189-5503|RBS   534|RX J0420.0-5456|1RXS J042000.5-545617|SGC 041853-5503.4|SINGG HIPASS J0419-54|SPT-S J041959-5456.2|SUMSS J042001-545613|SWIFT J0420.0-5456|SWIFT J0420.0-5457|XMMSL1 J041959.8-545618|[BBW2000] FD  41|[CHM2007] HDC  279 J042000.41-5456161|[CHM2007] LDC  328 J042000.41-5456161|[DML87] 604|[DSB94]  42|[FS90] Dorado 53|[HB91] 0418-550|[KKF2005] 10|[LB2005] NGC  1566 X1|[M98c] 041853.0-550324|[SLK2004] 420|[VDD93]  38|[VV2000c] J042000.7-545617|[VV2003c] J042000.7-545617|[VV2006c] J042000.7-545617|[VV2010c] J042000.7-545617|[VV98c] J042000.7-545617|[WTW94] 0418-550" "NGC 1566" "" "" "04 20 00.419" "-54 56 16.11" "Seyfert 1 Galaxy" "" "" 0.0050360 9.729999542236328
"NGC  1567" "" "NGC  1567|AM 0419-482|APMBGC 202+092-091|6dFGS gJ042108.8-481517|ESO 202-10|ESO-LV 202-0100|LEDA   14934|2MASX J04210873-4815174|RR95  87b|SGC 041943-4822.3|[CHM2007] LDC  303 J042108.73-4815174|[SDD95] 223a" "NGC 1567" "" "" "04 21 08.738" "-48 15 17.43" "Galaxy in Pair of Galaxies" "" "" 0.0151600 ""
"NGC  1568" "" "NGC  1568|CGPG 0421.8-0051|6dFGS gJ042425.3-004446|IRAS F04217-0051|LEDA   15042|2MASX J04242535-0044465|MCG+00-12-027|NGC  1568B|NGC  1568E|UGC  3032|UZC J042425.3-004447|VV  809|ZW   II  10|Z 393-16|Z 0421.8-0051|[CHM2007] LDC  295 J042425.35-0044465" "NGC 1568" "" "" "04 24 25.351" "-00 44 46.58" "Galaxy in Group of Galaxies" "" "" 0.0157910 ""
"NGC  1569" "" "NGC  1569|APG 210|BWE 0426+6444|6C 042605+644430|8C 0426+647|CGPG 0426.1+6445|2E  1056|2E 0426.1+6444|GB6 B0426+6444|87GB 042605.2+644420|IRAS F04260+6444|IRAS 0426+647P01|IRAS 04260+6444|ISOSS J04308+6450|LEDA   15345|2MASX J04304918+6450525|MCG+11-06-001|MY 042611.7+644410.9|NVSS J043049+645054|SPB  61|TYC 4073-90-1|UGC  3056|UZC J043048.6+645056|WB 0426+6444|WN B0426.0+6444|WN B0426.0+6444B|WN B0426.0+6444A|ZW  VII  16|Z 306-1|Z 0426.1+6445|[CAB95] IRAS F04260+6444|[CHM2007] HDC  296 J043049.18+6450525|[CHM2007] LDC  264 J043049.18+6450525|[M98c] 042605.8+644418|[MI94] Im  26|[NKB95] N1569|[SLK2004] 431|[VDD93]  39" "NGC 1569" "" "" "04 30 49.186" "+64 50 52.52" "Interacting Galaxies" "" "" -0.0002970 11.029999732971191
"NGC  1570" "" "NGC  1570|AM 0420-434|APMBGC 250-083-071|APMGS 042032.8-434441.9|EQ 0420-437|ESO 250-19|ESO-LV 250-0190|LEDA   14971|2MASX J04220894-4337463|MCG-07-10-001|NGC  1571|SGC 042033-4344.7|[CHM2007] LDC  302 J042208.94-4337463" "NGC 1570" "" "" "04 22 08.948" "-43 37 46.37" "Galaxy in Group of Galaxies" "" "" 0.0147600 ""
"NGC  1572" "" "NGC  1572|AM 0421-404|APMBGC 303-011+031|6dFGS gJ042242.8-403603|ESO 303-14|ESO-LV 303-0140|IRAS 04210-4042|IRAS F04210-4042|JB b 15|LEDA   14993|2MASX J04224281-4036034|MBG 04210-4042|MCG-07-10-003|PSCz Q04210-4042|SGC 042101-4042.9" "NGC 1572" "" "" "04 22 42.814" "-40 36 03.50" Galaxy "" "" 0.0202910 ""
"NGC  1573" "" "NGC  1573|LEDA   15570|2MASX J04350397+7315446|MCG+12-05-008|UGC  3077|UZC J043504.1+731545|ZW  VII  18|Z 0429.0+7309|Z 328-9|[CHM2007] LDC  347 J043503.97+7315446|[CHM2007] HDC  311 J043503.97+7315446|[FWB89] Galaxy 120" "NGC 1573" "" "" "04 35 03.975" "+73 15 44.66" "Galaxy in Group of Galaxies" "" "" 0.0140560 ""
"NGC  1574" "" "NGC  1574|AM 0421-570|AM 0420-570|6dFGS gJ042158.8-565829|ESO 157-22|ESO-LV 157-0220|IRAS F04210-5705|JB b 14|LEDA   14965|2MASX J04215882-5658291|SGC 042059-5705.4|[CHM2007] HDC  279 J042158.82-5658291|[CHM2007] LDC  328 J042158.82-5658291|[LB2005] NGC  1574 X1" "NGC 1574" "" "" "04 21 58.821" "-56 58 29.10" "Galaxy in Group of Galaxies" "" "" 0.0034390 10.479999542236328
"NGC  1575" "" "NGC  1575|6dFGS gJ042620.6-100554|LEDA   15092|2MASX J04262054-1005543|[CHM2007] LDC  300 J042620.54-1005543" "NGC 1575" "" "" "04 26 20.548" "-10 05 54.35" "Galaxy in Group of Galaxies" "" "" 0.0311100 ""
"NGC  1576" "" "NGC  1576|6dFGS gJ042618.8-033716|LEDA   15089|2MASX J04261882-0337158|MCG-01-12-007|[CHM2007] HDC  287 J042618.82-0337158|[CHM2007] LDC  312 J042618.82-0337158" "NGC 1576" "" "" "04 26 18.822" "-03 37 15.86" "Galaxy in Group of Galaxies" "" "" 0.0158700 ""
"NGC  1577" "" "NGC  1577|AGC 440130|CAIRNS J042620.40-100554.0|IRAS F04239-1012|IRAS 04239-1012|LEDA   15090|MCG-02-12-014|PSCz P04239-1012" "NGC 1577" "" "" "04 26 20.4" "-10 05 54" "Galaxy in Cluster of Galaxies" "" "" 0.0312220 ""
"NGC  1578" "" "NGC  1578|APMBGC 202+062+088|6dFGS gJ042346.7-513558|ESO 202-14|ESO-LV 202-0140|FRL  771|IRAS 04224-5142|LEDA   15025|2MASX J04234665-5135579|PSCz Q04224-5142|SGC 042230-5142.8|TYC 8075-1340-1" "NGC 1578" "" "" "04 23 46.659" "-51 35 57.92" Galaxy "" "" 0.0206080 ""
"NGC  1579" "" "NGC  1579|Ced  35|DG  34|LBN   767|LBN 165.38-08.73|SH  2-222|[B77]  70|[KPS2012] MWSC 0385|[SS62] 19|[TP72] 12" "NGC 1579" "" "" "04 30 11" "+35 16.7" "HII (ionized) region" "" "" "" ""
"NGC  1580" "" "NGC  1580|6dFGS gJ042818.5-051044|IRAS 04258-0517|LEDA   15189|2MASX J04281848-0510436|MCG-01-12-011|[CHM2007] HDC  294 J042818.48-0510436|[CHM2007] LDC  312 J042818.48-0510436|[SMF2008] J042818.8-051044" "NGC 1580" "" "" "04 28 18.483" "-05 10 43.64" "Galaxy in Group of Galaxies" "" "" 0.0142820 ""
"NGC  1581" "" "NGC  1581|APMBGC 157+002-001|6dFGS gJ042445.0-545631|ESO 157-26|ESO-LV 157-0260|IRAS 04236-5503|IRAS F04236-5503|LEDA   15055|2MASX J04244496-5456312|PSCz Q04236-5503|SGC 042339-5503.3|[CHM2007] LDC  328 J042444.96-5456312|[CHM2007] HDC  279 J042444.96-5456312|[FS90] Dorado 64" "NGC 1581" "" "" "04 24 44.967" "-54 56 31.20" "Galaxy in Group of Galaxies" "" "" 0.0053440 ""
"NGC  1582" "" "NGC  1582|C 0428+437|IRAS 04287+4344|OCl  407.0|[KPR2004b]  52|[KPS2012] MWSC 0388" "NGC 1582" "" "" "04 32 15.4" "+43 50 43" "Open (galactic) Cluster" "" "" 0.0000180 7.0
"NGC  1583" "" "NGC  1583|APMBGC 551+089-128|ESO 551-8|ESO-LV 551-0080|LEDA   15193|LEDA   15191|2MASX J04282071-1735434|MCG-03-12-010|NPM1G -17.0162|SGC 042606-1742.3|[CHM2007] LDC  304 J042820.71-1735434" "NGC 1583" "" "" "04 28 20.711" "-17 35 43.46" "Galaxy in Group of Galaxies" "" "" 0.0296220 ""
"NGC  1584" "" "NGC  1584|APMBGC 551+091-131|ESO 551-6|ESO-LV 551-0060|LEDA   15180|2MASX J04281029-1731244|NPM1G -17.0161|SGC 042556-1738.0|[CHM2007] LDC  304 J042810.29-1731244" "NGC 1584" "" "" "04 28 10.290" "-17 31 24.47" "Galaxy in Group of Galaxies" "" "" 0.0304440 ""
"NGC  1585" "" "NGC  1585|APMBGC 303-059+115|6dFGS gJ042733.0-420955|ESO 303-18|ESO-LV 303-0180|HIPASS J0427-42|IRAS 04259-4216|IRAS F04259-4216|LEDA   15150|2MASX J04273300-4209549|MBG 04259-4216|MCG-07-10-006|PSCz Q04259-4216|SGC 042555-4216.5" "NGC 1585" "" "" "04 27 33.003" "-42 09 54.98" Galaxy "" "" 0.0156030 ""
"NGC  1586" "" "NGC  1586|6dFGS gJ043038.2-001815|HIPASS J0430-00|IRAS F04280-0024|IRAS 04280-0024|LEDA   15331|2MASX J04303822-0018149|MCG+00-12-036|PSCz Q04280-0024|UGC  3062|UZC J043038.2-001815|Z 393-27|Z 0428.1-0025|[CHM2007] HDC  292 J043038.22-0018149|[CHM2007] LDC  311 J043038.22-0018149" "NGC 1586" "" "" "04 30 38.223" "-00 18 14.98" "Galaxy in Group of Galaxies" "" "" 0.0119290 ""
"NGC  1587" "" "NGC  1587|CGPG 0428.1+0033|KPG  99a|LEDA   15332|2MASX J04303992+0039421|MCG+00-12-035|UGC  3063|UZC J043039.9+003943|ZW   II  12|Z 393-28|Z 0428.1+0033|[CHM2007] HDC  292 J043039.92+0039421|[CHM2007] LDC  311 J043039.92+0039421|[FWB89] Galaxy 118|[H37]  76a" "NGC 1587" "" "" "04 30 39.921" "+00 39 42.16" "Galaxy in Pair of Galaxies" "" "" 0.0123500 ""
"NGC  1588" "" "NGC  1588|KPG  99b|LEDA   15340|MCG+00-12-037|Mrk  616|UGC  3064|UZC J043043.7+003953|Z 393-29|Z 0428.2+0033|[FWB89] Galaxy 119|[H37]  76b" "NGC 1588" "" "" "04 30 43.86" "+00 39 52.8" "Galaxy in Pair of Galaxies" "" "" 0.0116500 ""
"NGC  1589" "" "NGC  1589|LEDA   15342|2MASX J04304545+0051491|MCG+00-12-038|SDSS J043045.45+005149.2|UGC  3065|UZC J043045.5+005151|Z 393-30|Z 0428.2+0045|[CHM2007] HDC  292 J043045.45+0051491|[CHM2007] LDC  311 J043045.45+0051491" "NGC 1589" "" "" "04 30 45.450" "+00 51 49.16" "Galaxy in Group of Galaxies" "" "" 0.0126720 ""
"NGC  1590" "" "NGC  1590|CGPG 0428.5+0731|IRAS 0428+075P02|IRAS 04284+0731|IRAS F04284+0731|KUG 0428+075|LEDA   15368|2MASX J04311020+0737513|MCG+01-12-008|PSCz Q04284+0731|QDOT B0428284+073125|SDSS J043110.24+073751.1|UGC  3071|UZC J043110.3+073751|ZW   II  13|Z 419-14|Z 0428.5+0731|[CHM2007] LDC  306 J043110.20+0737513" "NGC 1590" "" "" "04 31 10.205" "+07 37 51.39" "Galaxy in Group of Galaxies" "" "" 0.0129990 ""
"NGC  1591" "" "NGC  1591|APMBGC 484-042+094|6dFGS gJ042930.6-264247|ESO 484-25|ESO-LV 484-0250|GSC 06467-02420|IRAS 04274-2649|LEDA   15276|2MASX J04293054-2642472|MCG-04-11-015|PSCz Q04274-2649|SGC 042728-2649.3|[CHM2007] HDC  289 J042930.54-2642472|[CHM2007] LDC  305 J042930.54-2642472" "NGC 1591" "" "" "04 29 30.546" "-26 42 47.29" "Galaxy in Group of Galaxies" "" "" 0.0137700 ""
"NGC  1592" "" "NGC  1592|AM 0427-273|APMBGC 421+099-137|6dFGS gJ042940.9-272431|ESO-LV 421-0020|ESO 421-2|GSC 06467-01772|HIPASS J0429-27|IRAS F04276-2731|LCSB L237|LEDA   15292|2MASX J04294085-2724313|2MASXI J0429408-272430|MCG-05-11-011|RR95  88b|SGC 042739-2731.0|SINGG HIPASS J0429-27|VV  647|[WDW2002] HIPASS J0429-27" "NGC 1592" "" "" "04 29 40.858" "-27 24 31.30" "Interacting Galaxies" "" "" 0.0031580 14.09000015258789
"NGC  1594" "" "NGC  1594|AGC 440168|6dFGS gJ043051.6-054754|GSC 04746-00631|HIPASS J0430-05|IC 2075|IRAS 04284-0554|LEDA   15348|2MASX J04305162-0547539|MCG-01-12-014|NPM1G -05.0197|PSCz P04284-0554|[CHM2007] HDC  294 J043051.62-0547539|[CHM2007] LDC  312 J043051.62-0547539|[SMF2008] J043051.6-054754" "NGC 1594" "" "" "04 30 51.628" "-05 47 53.98" "Galaxy in Group of Galaxies" "" "" 0.0145120 ""
"NGC  1595" "" "NGC  1595|AM 0426-475|APMBGC 202+028-116|6dFGS gJ042821.8-474857|ESO 202-25|ESO-LV 202-0250|LEDA   15195|2MASX J04282173-4748573|SGC 042656-4755.5|[A81] 042657-4757|[CHM2007] LDC  303 J042821.73-4748573|[CHM2007] HDC  285 J042821.73-4748573|[FWB89] Galaxy 116|[KK2000] 25B" "NGC 1595" "" "" "04 28 21.733" "-47 48 57.31" "Galaxy in Group of Galaxies" "" "" 0.0156140 ""
"NGC  1596" "" "NGC  1596|ESO 157-31|ESO-LV 157-0310|LEDA   15153|2MASX J04273810-5501401|2MFGC 3625|SGC 042632-5508.2|[CHM2007] HDC  279 J042738.10-5501401|[CHM2007] LDC  328 J042738.10-5501401|[FS90] Dorado 76" "NGC 1596" "" "" "04 27 38.108" "-55 01 40.18" "Interacting Galaxies" "" "" 0.0049830 10.970000267028809
"NGC  1597" "" "NGC  1597|CAIRNS J043113.38-111724.6|IRAS 04287-1124|LEDA   15374|2MASX J04311349-1117247|MCG-02-12-032|NPM1G -11.0163|[CHM2007] LDC  308 J043113.49-1117247" "NGC 1597" "" "" "04 31 13.493" "-11 17 24.73" "Galaxy in Group of Galaxies" "" "" 0.0333900 ""
"NGC  1598" "" "NGC  1598|AM 0427-475|APMBGC 202+026-118|6dFGS gJ042833.7-474657|ESO 202-26|ESO-LV 202-0260|IRAS 04271-4753|LEDA   15204|2MASX J04283365-4746574|MBG 04271-4753|PSCz Q04271-4753|QDOT B0427061-475326|SGC 042708-4753.4|[A81] 042657-4757NE|[CHM2007] LDC  303 J042833.65-4746574|[CHM2007] HDC  285 J042833.65-4746574|[KK2000] 25C" "NGC 1598" "" "" "04 28 33.651" "-47 46 57.40" "Galaxy in Group of Galaxies" "" "" 0.0172680 ""
"NGC  1599" "" "NGC  1599|6dFGS gJ043138.7-043518|HIPASS J0431-04|IRAS 04292-0441|IRAS F04291-0441|IRAS 0429-046P10|LEDA   15403|2MASX J04313873-0435179|MCG-01-12-016|PSCz Q04292-0441|[SMF2008] J043138.8-043518" "NGC 1599" "" "" "04 31 38.736" "-04 35 17.96" Galaxy "" "" 0.0136190 ""
"NGC  1600" "" "NGC  1600|6dFGS gJ043139.9-050510|2E  1077|2E 0429.2-0511|GSC 04742-00727|LEDA   15406|2MASX J04313985-0505099|MCG-01-12-017|1RXS J043138.4-050457|2XMMi J043139.7-050509|[CHM2007] HDC  294 J043139.85-0505099|[CHM2007] LDC  312 J043139.85-0505099|[FWB89] Galaxy 121|[SMF2008] J043139.86-050509.6" "NGC 1600" "" "" "04 31 39.858" "-05 05 09.97" "Galaxy in Group of Galaxies" "" "" 0.0158240 ""
"NGC  1601" "" "NGC  1601|CXOU J043141.7-050336|LEDA   15413|2MASX J04314173-0503369|MCG-01-12-018|NPM1G -05.0198|[CHM2007] HDC  294 J043141.73-0503369|[CHM2007] LDC  312 J043141.73-0503369|[FWB89] Galaxy 123|[SMF2008] J043141.70-050337.4|[SSC2004b] 23" "NGC 1601" "" "" "04 31 41.733" "-05 03 36.97" "Galaxy in Group of Galaxies" "" "" 0.0166680 ""
"NGC  1602" "" "NGC  1602|APMBGC 157-022+005|ESO 157-32|ESO-LV 157-0320|FAUST  564|HIPASS J0427-55|IRAS 04267-5510|IRAS 04268-5510|LEDA   15168|2MASX J04275497-5503282|PSCz Q04267-5510|QDOT B0426469-551003|SGC 042648-5510.0|[BBW2000] FD  53|[DSB94]  46|[FS90] Dorado 78|[MI94] Im  27" "NGC 1602" "" "" "04 27 54.976" "-55 03 28.23" "Interacting Galaxies" "" "" 0.0052430 13.329999923706055
"NGC  1603" "" "NGC  1603|6dFGS gJ043150.0-050540|EQ 0430-052|LEDA   15424|2MASX J04314996-0505399|MCG-01-12-019|NPM1G -05.0199|[CHM2007] LDC  312 J043149.96-0505399|[CHM2007] HDC  294 J043149.96-0505399|[FWB89] Galaxy 122|[SMF2008] J043149.94-050539.8" "NGC 1603" "" "" "04 31 49.966" "-05 05 39.98" "Galaxy in Group of Galaxies" "" "" 0.0172400 ""
"NGC  1604" "" "NGC  1604|6dFGS gJ043158.6-052211|LEDA   15433|2MASX J04315859-0522107|MCG-01-12-020|NPM1G -05.0201|[CHM2007] HDC  294 J043158.59-0522107|[CHM2007] LDC  312 J043158.59-0522107|[SMF2008] J043158.55-052211.6" "NGC 1604" "" "" "04 31 58.590" "-05 22 10.75" "Galaxy in Group of Galaxies" "" "" 0.0148710 ""
"NGC  1605" "" "NGC  1605|C 0431+451|OCISM  98|OCl  406.0|OCl  406|[KPS2012] MWSC 0394" "NGC 1605" "" "" "04 34 55" "+45 16.5" "Open (galactic) Cluster" "" "" "" 10.699999809265137
"NGC  1606" "" "NGC  1606|IRAS F04296-0508|LEDA   15443|2MASX J04320334-0501567|MCG-01-12-022|NPM1G -05.0202|[SMF2008] J043203.30-050157.0" "NGC 1606" "" "" "04 32 03.349" "-05 01 56.75" Galaxy "" "" 0.0172400 ""
"NGC  1607" "" "NGC  1607|6dFGS gJ043203.1-042736|LEDA   15442|2MASX J04320309-0427357|MCG-01-12-023|[CHM2007] HDC  294 J043203.09-0427357|[CHM2007] LDC  312 J043203.09-0427357|[SMF2008] J043203.1-042738" "NGC 1607" "" "" "04 32 03.093" "-04 27 35.75" "Galaxy in Group of Galaxies" "" "" 0.0141000 ""
"NGC  1608" "" "NGC  1608|IC 2077|LEDA   15447|2MASX J04320614+0034028|MCG+00-12-044|NGC  1593|UGC  3082|UZC J043206.1+003403|Z 393-37|Z 0429.5+0027|[CHM2007] HDC  292 J043206.14+0034028|[CHM2007] LDC  311 J043206.14+0034028" "NGC 1608" "" "" "04 32 06.147" "+00 34 02.81" "Galaxy in Group of Galaxies" "" "" 0.0126400 ""
"NGC  1609" "" "NGC  1609|6dFGS gJ043245.1-042221|LEDA   15480|2MASX J04324510-0422207|MCG-01-12-025|NPM1G -04.0199|[CHM2007] HDC  294 J043245.10-0422207|[CHM2007] LDC  312 J043245.10-0422207" "NGC 1609" "" "" "04 32 45.110" "-04 22 20.72" "Galaxy in Group of Galaxies" "" "" 0.0143600 ""
"NGC  1610" "" "NGC  1610|6dFGS gJ043413.9-044159|LEDA   15543|2MASX J04341387-0441590|NPM1G -04.0203" "NGC 1610" "" "" "04 34 13.874" "-04 41 59.09" Galaxy "" "" 0.0154300 ""
"NGC  1611" "" "NGC  1611|6dFGS gJ043306.0-041751|IRAS F04306-0424|IRAS 04306-0424|LEDA   15501|2MASX J04330596-0417508|MCG-01-12-029|2MFGC 3706|PSCz P04306-0424|[CHM2007] HDC  294 J043305.96-0417508|[CHM2007] LDC  312 J043305.96-0417508|[SMF2008] J043305.9-041751" "NGC 1611" "" "" "04 33 05.969" "-04 17 50.89" "Galaxy in Group of Galaxies" "" "" 0.0142700 ""
"NGC  1612" "" "NGC  1612|6dFGS gJ043313.1-041021|IRAS 04307-0416|LEDA   15507|2MASX J04331312-0410208|MCG-01-12-030|NPM1G -04.0200|PSCz P04307-0416|[CHM2007] LDC  312 J043313.12-0410208" "NGC 1612" "" "" "04 33 13.121" "-04 10 20.89" "Galaxy in Group of Galaxies" "" "" 0.0168900 ""
"NGC  1613" "" "NGC  1613|6dFGS gJ043325.3-041556|LEDA   15518|2MASX J04332534-0415556|MCG-01-12-031|NPM1G -04.0201|[CHM2007] HDC  294 J043325.34-0415556|[CHM2007] LDC  312 J043325.34-0415556" "NGC 1613" "" "" "04 33 25.345" "-04 15 55.62" "Galaxy in Group of Galaxies" "" "" 0.0151000 ""
"NGC  1614" "" "NGC  1614|APG 186|CAIRNS J043359.85-083444.0|CGPG 0431.6-0841|6dFGS gJ043400.0-083445|1E 0431.5-0840|EQ 0431-09|GSC 05314-01514|IRAS 04315-0840|IRAS F04315-0840|ISOSS J04340-0834|LEDA   15538|2MASX J04340002-0834445|MCG-01-12-032|Mrk  617|PMN J0434-0834|PSCz P04315-0840|SDSS J043400.04-083445.0|ZW   II  15|[CHM2007] LDC  330 J043400.02-0834445|[DML87] 606|[M98c] 043135.5-084042|[SLK2000]  23|[SLK2004] 436|[VV2000c] J043359.8-083444|[VV2003c] J043359.8-083444|[VV2006c] J043359.8-083444|[VV2010c] J043359.8-083444|[VV98c] J043359.8-083444" "NGC 1614" "" "" "04 34 00.027" "-08 34 44.57" "Active Galaxy Nucleus" "" "" 0.0158510 13.989999771118164
"NGC  1615" "" "NGC  1615|LEDA   15608|2MASX J04360101+1957008|MCG+03-12-005|UGC  3096|UZC J043601.9+195703|Z 0433.0+1950|Z 467-3" "NGC 1615" "" "" "04 36 02.00" "+19 57 03.8" Galaxy "" "" 0.0113080 ""
"NGC  1616" "" "NGC  1616|Aguero 20|AM 0431-434|APMBGC 251+084-068|6dFGS gJ043241.7-434257|ESO 251-10|ESO-LV 251-0100|IRAS 04311-4349|IRAS F04311-4349|LEDA   15479|2MASX J04324173-4342572|MCG-07-10-013|PSCz Q04311-4349|QDOT B0431074-434911|SGC 043107-4349.2|[CHM2007] LDC  302 J043241.73-4342572" "NGC 1616" "" "" "04 32 41.733" "-43 42 57.21" "Galaxy in Group of Galaxies" "" "" 0.0150300 ""
"NGC  1617" "" "NGC  1617|AM 0430-544|APMBGC 157-052-019|ESO 157-41|ESO-LV 157-0410|IRAS 04305-5442|IRAS F04305-5442|LEDA   15405|2MASX J04313953-5436081|PSCz Q04305-5442|QDOT B0430313-544218|SGC 043033-5442.4|[CHM2007] LDC  328 J043139.53-5436081" "NGC 1617" "" "" "04 31 39.534" "-54 36 08.16" "Galaxy in Pair of Galaxies" "" "" 0.0035520 10.260000228881836
"NGC  1618" "" "NGC  1618|AGC 440292|6dFGS gJ043606.6-030855|IRAS 04336-0314|IRAS F04336-0314|IRAS 0433-032P02|LEDA   15611|2MASX J04360657-0308553|MCG-01-12-034|PSCz Q04336-0314|[CHM2007] HDC  298 J043606.57-0308553|[CHM2007] LDC  312 J043606.57-0308553" "NGC 1618" "" "" "04 36 06.574" "-03 08 55.35" "Galaxy in Group of Galaxies" "" "" 0.0166750 ""
"NGC  1620" "" "NGC  1620|6dFGS gJ043637.4-000837|HIPASS J0436-00|IRAS F04340-0014|IRAS 04340-0014|ISOSS J04366-0007|LEDA   15638|2MASX J04363734-0008370|MCG+00-12-052|PSCz Q04340-0014|SDSS J043637.34-000836.7|TC  55|UGC  3103|UZC J043637.3-000836|Z 0434.0-0015|Z 393-46|[CHM2007] LDC  311 J043637.34-0008370|[SLK2004] 440" "NGC 1620" "" "" "04 36 37.350" "-00 08 37.01" "Galaxy in Group of Galaxies" "" "" 0.0117760 ""
"NGC  1622" "" "NGC  1622|AGC 440300|6dFGS gJ043636.7-031120|IRAS F04340-0317|LEDA   15635|2MASX J04363665-0311200|MCG-01-12-036|NPM1G -03.0201|[CHM2007] HDC  298 J043636.65-0311200|[CHM2007] LDC  312 J043636.65-0311200" "NGC 1622" "" "" "04 36 36.650" "-03 11 20.00" "Galaxy in Group of Galaxies" "" "" 0.0162180 ""
"NGC  1623" "" "NGC  1623|CAIRNS J043532.39-133322.9|6dFGS gJ043532.4-133323|LEDA   15591|2MASX J04353239-1333234|[CZ2003]   496A-1294  54|[D80] ACO   496   7|[DFL99] Galaxy 395|[MZR2005] A496.J043532-133322|[SDG99b] 1-2374" "NGC 1623" "" "" "04 35 32.395" "-13 33 23.42" "Galaxy in Cluster of Galaxies" "" "" 0.0334830 ""
"NGC  1624" "" "NGC  1624|C 0436+503|Cl Collinder   53|OCISM  96|OCl  403|OCl  403.0|[BDS2003]  67|[FSR2007] 0681|[KPS2012] MWSC 0408" "NGC 1624" "" "" "04 40 36.0" "+50 27 42" "Open (galactic) Cluster" "" "" "" 11.800000190734863
"NGC  1625" "" "NGC  1625|AGC 440304|IRAS F04346-0324|IRAS 04346-0324|LEDA   15654|MCG-01-12-038|2MFGC 3774|PSCz Q04346-0324" "NGC 1625" "" "" "04 37 05.7" "-03 18 11" Galaxy "" "" 0.0160260 ""
"NGC  1621" "" "NGC  1621|6dFGS gJ043625.1-045914|LEDA   15626|2MASX J04362507-0459139|MCG-01-12-035|NGC  1626|NPM1G -05.0207|[CHM2007] LDC  312 J043625.07-0459139" "NGC 1621" "" "" "04 36 25.074" "-04 59 14.00" "Galaxy in Group of Galaxies" "" "" 0.0149550 ""
"NGC  1627" "" "NGC  1627|AGC 440306|6dFGS gJ043738.0-045315|HIPASS J0437-04|IRAS F04351-0459|IRAS 04351-0459|LEDA   15675|2MASX J04373798-0453148|MCG-01-12-040|PSCz Q04351-0459|QDOT B0435103-045915" "NGC 1627" "" "" "04 37 37.982" "-04 53 14.87" Galaxy "" "" 0.0129380 ""
"NGC  1628" "" "NGC  1628|AGC 440307|6dFGS gJ043736.3-044254|GSC 04743-00934|IRAS 04351-0448|IRAS F04351-0448|LEDA   15674|2MASX J04373626-0442534|MCG-01-12-039|2MFGC 3781" "NGC 1628" "" "" "04 37 36.270" "-04 42 53.40" Galaxy "" "" 0.0123490 ""
"NGC  1629" "" "NGC  1629|ESO  55-24|KMHK    4|LW   3|[JT98]  29A|[SL63]   3" "NGC 1629" "" "" "04 29 36" "-71 50.3" "Globular Cluster" "" "" "" 12.677000045776367
