MAIN_ID ID_NAME ID_HD ID_NGC RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V
"GJ   190" "" "" "" "05 08 35.0450" "-18 10 19.378" "High proper-motion Star" M3.5V 106.870 0.0001130 10.302000045776367
"NAME Kapteyn's star" "NAME Kapteyn's" "HD 33793" "" "05 11 40.5811" "-45 01 06.289" "Variable of BY Dra type" M1VIp 255.660 0.0008180 8.852999687194824
"G  85-52" "" "" "" "05 12 42.2268" "+19 39 56.358" "High proper-motion Star" M0V 82.750 -0.0000840 10.746000289916992
"HD  34101" "" "HD 34101" "" "05 14 20.0569" "-15 49 35.840" "Spectroscopic binary" G7V 34.410 0.0001090 7.449999809265137
"* alf Aur" "NAME Capella" "HD 34029" "" "05 16 41.3587" "+45 59 52.769" "Spectroscopic binary" G3III: 76.200 0.0000970 0.07999999821186066
"* alf Aur" "NAME Capella" "HD 34029" "" "05 16 41.3587" "+45 59 52.769" "Spectroscopic binary" G3III: 76.200 0.0000970 0.07999999821186066
"* alf Aur" "NAME Capella" "HD 34029" "" "05 16 41.3587" "+45 59 52.769" "Spectroscopic binary" G3III: 76.200 0.0000970 0.07999999821186066
"GJ   195 A" "NAME Capella H" "" "" "05 17 23.728" "+45 50 22.97" "High proper-motion Star" M2.5V 76.000 0.0001200 ""
"GJ   195 B" "NAME Capella L" "" "" "05 17 23.943" "+45 50 19.84" "High proper-motion Star" M4: "" "" 13.699999809265137
"HD  33564" "" "HD 33564" "" "05 22 33.5324" "+79 13 52.142" "High proper-motion Star" F6V 47.880 -0.0000360 5.084000110626221
"* lam Aur" "" "HD 34411" "" "05 19 08.4742" "+40 05 56.582" "High proper-motion Star" G1.5IV-VFe-1 79.170 0.0002220 4.710000038146973
"HD  34721" "" "HD 34721" "" "05 18 50.4728" "-18 07 48.185" "High proper-motion Star" G0V 39.960 0.0001350 5.960000038146973
"HD  34751A" "" "HD 34751A" "" "05 18 47.187" "-21 23 37.53" "High proper-motion Star" "" "" "" 9.520000457763672
"HD  34751B" "" "HD 34751B" "" "05 18 47.546" "-21 23 36.56" "High proper-motion Star" M3.5V "" "" 12.520000457763672
"HD  34673A" "" "HD 34673A" "" "05 19 12.657" "-03 04 25.81" "High proper-motion Star" "" "" "" 7.860000133514404
"HD  34673B" "" "HD 34673B" "" "05 19 12.639" "-03 04 22.66" "High proper-motion Star" "" "" "" 11.399999618530273
"L  233-30" "" "" "" "05 17 53.48" "-53 40 52.5" "High proper-motion Star" K3 44.900 "" 13.1899995803833
"* 111 Tau B" "" "HD 35171" "" "05 23 38.3796" "+17 19 26.820" "High proper-motion Star" K4V 68.490 0.0001270 7.919000148773193
"* 111 Tau" "" "HD 35296" "" "05 24 25.4638" "+17 23 00.716" "Variable of BY Dra type" F8V 69.510 0.0001260 5.0
"Ross   41" "" "" "" "05 28 00.1525" "+09 38 38.139" "High proper-motion Star" M3.5Ve 113.500 0.0001970 12.442999839782715
"HD  36003" "" "HD 36003" "" "05 28 26.0955" "-03 29 58.400" "High proper-motion Star" K5V 77.200 -0.0001850 7.642000198364258
"HD  36435" "" "HD 36435" "" "05 27 39.3521" "-60 24 57.585" "High proper-motion Star" G5V 51.540 0.0000450 6.982999801635742
"Wolf 1450" "" "" "" "05 29 52.0167" "-03 26 30.148" "High proper-motion Star" M2.5 56.800 "" 12.050999641418457
"HD  36395" "" "HD 36395" "" "05 31 27.3958" "-03 40 38.021" "High proper-motion Star" M1.5Ve 177.080 0.0000290 7.9679999351501465
"Ross   42" "" "" "" "05 32 14.6563" "+09 49 14.930" "Flare Star" M4Ve 77.770 0.0000690 11.529000282287598
"Ross  409" "" "" "" "05 33 02.4949" "+29 23 19.986" "High proper-motion Star" K7 29.900 0.0000850 11.994000434875488
"V* V371 Ori" "NAME Wachmann's Flare Star" "" "" "05 33 44.8005" "+01 56 43.455" "Flare Star" M3.0V 63.470 0.0002150 11.49899959564209
"HD  37065" "" "HD 37065" "" "05 34 48.6206" "-23 28 08.340" "High proper-motion Star" K2V 36.170 -0.0000920 8.819999694824219
"V* V2689 Ori" "" "HD 245409" "" "05 36 30.9905" "+11 19 40.328" "Variable of RS CVn type" K6V 87.660 0.0000730 8.89799976348877
"HD  37124" "" "HD 37124" "" "05 37 02.4861" "+20 43 50.837" "High proper-motion Star" G4IV-V 29.700 -0.0000770 7.679999828338623
"* nu.02 Col" "" "HD 37495" "" "05 37 44.6179" "-28 41 22.886" "High proper-motion Star" F5V 24.510 0.0001240 5.309999942779541
"HD  37655" "" "HD 37655" "" "05 38 01.8765" "-42 57 48.542" "High proper-motion Star" G0V 16.820 0.0001080 7.440000057220459
"HD  37394" "" "HD 37394" "" "05 41 20.3348" "+53 28 51.804" "Variable of BY Dra type" K1V 81.450 0.0000040 6.230000019073486
"HD 233153" "" "HD 233153" "" "05 41 30.7278" "+53 29 23.277" "High proper-motion Star" M1.0V 80.400 0.0000070 9.765999794006348
"Ross   47" "" "" "" "05 42 09.2677" "+12 29 21.622" "Variable of BY Dra type" M4V 171.550 0.0003530 11.508999824523926
"HD  37986" "" "HD 37986" "" "05 41 53.6866" "-15 37 49.952" "High proper-motion Star" G8+VCN+1 33.700 0.0001970 7.369999885559082
"BD+62   780" "" "" "" "05 45 48.2757" "+62 14 12.386" "High proper-motion Star" K7V 74.200 -0.0000650 9.208999633789062
"* gam Lep" "" "HD 38393" "" "05 44 27.7908" "-22 26 54.180" "High proper-motion Star" F6V 112.020 -0.0000310 3.5999999046325684
"V* AK Lep" "" "HD 38392" "" "05 44 26.543" "-22 25 18.77" "Variable of BY Dra type" K2V "" -0.0000340 6.150000095367432
"LHS  1781" "" "" "" "05 45 43.22" "-22 20 03.5" "High proper-motion Star" M3.5V "" "" 16.0
"GJ   216 D" "" "" "" "05 44.3" "-22 27" Star M3V "" "" ""
"HD  38230" "" "HD 38230" "" "05 46 01.8854" "+37 17 04.734" "High proper-motion Star" K0V 47.980 -0.0000970 7.360000133514404
"* zet Lep" "" "HD 38678" "" "05 46 57.3409" "-14 49 19.019" Star A2IV-V(n) 46.280 0.0000820 3.5250000953674316
"HD  39194" "" "HD 39194" "" "05 44 31.9181" "-70 08 36.857" "High proper-motion Star" K0V 38.090 0.0000460 8.074999809265137
"CD-36  2458" "" "" "" "05 47 40.5788" "-36 19 42.835" "High proper-motion Star" M1.5 69.140 0.0000030 10.736000061035156
"* bet Pic" "" "HD 39060" "" "05 47 17.0876" "-51 03 59.441" "High proper-motion Star" A6V 51.440 0.0000670 3.859999895095825
"* bet Pic" "" "HD 39060" "" "05 47 17.0876" "-51 03 59.441" "High proper-motion Star" A6V 51.440 0.0000670 3.859999895095825
"Ross   59" "" "" "" "05 53 14.04" "+24 15 32.9" "High proper-motion Star" M2V 51.500 0.0000820 10.819000244140625
"BD-06  1339" "" "" "" "05 53 00.2846" "-05 59 41.441" "High proper-motion Star" K7V/M0V 49.780 0.0000760 9.692999839782715
"GJ   221 b" "" "" "" "05 53 00.2846" "-05 59 41.436" "Extra-solar Confirmed Planet" "" "" "" ""
"GJ   221 c" "" "" "" "05 53 00.2846" "-05 59 41.436" "Extra-solar Confirmed Planet" "" "" "" ""
"* chi01 Ori" "" "HD 39587" "" "05 54 22.9829" "+20 16 34.222" "Variable of RS CVn type" G0V 115.430 -0.0000440 4.400000095367432
"HD  39715" "" "HD 39715" "" "05 54 28.5766" "+02 08 32.043" "High proper-motion Star" K3V 38.830 -0.0001130 8.84000015258789
"BD-09  1261" "" "" "" "05 54 34.1183" "-09 23 33.796" "High proper-motion Star" K4V 26.900 0.0000920 10.75
"EGGR  45" "NAME HL 4" "" "" "05 55 09.489" "-04 10 04.30" "White Dwarf" DZ11 156.130 "" 14.449999809265137
"HD  40105" "" "HD 40105" "" "05 54 10.8131" "-50 21 45.181" "High proper-motion Star" K1IV-V 28.080 0.0000050 6.519999980926514
"HD  39881" "" "HD 39881" "" "05 56 03.4327" "+13 55 29.684" "High proper-motion Star" G5IV 37.590 0.0000010 6.599999904632568
"HD  40409" "" "HD 40409" "" "05 54 06.0530" "-63 05 22.662" "High proper-motion Star" K2III-IV 38.100 0.0000840 4.659999847412109
"* eta Lep" "" "HD 40136" "" "05 56 24.2930" "-14 10 03.718" "High proper-motion Star" F2V 67.210 -0.0000070 3.7200000286102295
"HD  40865" "" "HD 40865" "" "05 59 55.7938" "-37 03 24.207" "High proper-motion Star" G5V 19.640 0.0001320 8.609999656677246
"HD  40887" "" "HD 40887" "" "06 00 19.5245" "-31 01 43.610" "Double or multiple star" K5V+K5V 61.000 0.0003390 7.873000144958496
"NAME HD 40887 AB" "NAME HD 40887 AB" "" "" "06 00 19.685" "-31 01 53.26" "Double or multiple star" K5V "" 0.0003550 8.899999618530273
"NAME HD 40887 AB" "NAME HD 40887 AB" "" "" "06 00 19.685" "-31 01 53.26" "Double or multiple star" K5V "" 0.0003550 8.899999618530273
"HD  40887C" "" "HD 40887C" "" "06 00 19.452" "-31 01 42.28" "Double or multiple star" K5V "" 0.0003500 8.880000114440918
"HD  40887C" "" "HD 40887C" "" "06 00 19.452" "-31 01 42.28" "Double or multiple star" K5V "" 0.0003500 8.880000114440918
"GJ   226" "" "" "" "06 10 19.8474" "+82 06 24.319" "High proper-motion Star" M2.5V 106.570 -0.0000050 10.57699966430664
"Ross   60" "" "" "" "06 03 54.09" "+26 08 55.8" "High proper-motion Star" M3 47.600 "" 13.720000267028809
"GJ   226.2" "" "" "" "06 07 55.2512" "+67 58 36.554" "High proper-motion Star" K8V 39.930 -0.0000060 9.75
"HD  41330" "" "HD 41330" "" "06 06 08.5351" "+35 23 15.861" "High proper-motion Star" G0V 39.190 -0.0000520 6.119999885559082
"V* V1386 Ori" "" "HD 41593" "" "06 06 40.4782" "+15 32 31.581" "Variable of BY Dra type" K0V 65.480 -0.0000330 6.739999771118164
"BD+10  1032" "" "" "" "06 10 54.8038" "+10 19 04.994" "Double or multiple star" M2.5V 91.650 0.0001800 10.385000228881836
"BD+10  1032A" "" "" "" "06 10 54.794" "+10 19 04.88" "High proper-motion Star" M2.5Ve "" "" 10.420000076293945
"BD+10  1032B" "" "" "" "06 10 54.873" "+10 19 07.35" "High proper-motion Star" "" "" "" 12.649999618530273
"HD  42581" "" "HD 42581" "" "06 10 34.6157" "-21 51 52.722" "Flare Star" M1V 172.660 0.0000160 8.125
"HD  42581B" "" "HD 42581B" "" "06 10 34.80" "-21 52 00.0" "Brown Dwarf (M<0.08solMass)" T6.5 173.190 "" ""
"Ross   63" "" "" "" "06 11 34.60" "+22 13 37.6" "High proper-motion Star" K5 19.800 "" 12.722999572753906
"HD  42807" "" "HD 42807" "" "06 13 12.5024" "+10 37 37.709" "Variable of RS CVn type" G2V 55.710 0.0000200 6.440000057220459
"* alf Men" "" "HD 43834" "" "06 10 14.4735" "-74 45 10.958" "High proper-motion Star" G7V 98.060 0.0001160 5.090000152587891
"HD  43587" "" "HD 43587" "" "06 17 16.1385" "+05 06 00.399" "Spectroscopic binary" G0V 51.950 0.0000420 5.699999809265137
"G 106-36" "" "" "" "06 17 10.647" "+05 07 02.42" "High proper-motion Star" M3.5V 51.400 0.0000420 13.319999694824219
"G 106-36" "" "" "" "06 17 10.647" "+05 07 02.42" "High proper-motion Star" M3.5V 51.400 0.0000420 13.319999694824219
"V* V1260 Ori" "" "HD 43930" "" "06 19 28.8709" "+13 26 54.043" "Variable of RS CVn type" K1V 1.470 0.0000620 7.639999866485596
"Ross  417" "" "" "" "06 19 20.786" "-06 39 21.50" "High proper-motion Star" M3 68.200 0.0000990 13.074999809265137
"Ross   64" "" "" "" "06 24 41.324" "+23 25 58.56" "High proper-motion Star" M4V 119.400 -0.0000400 13.102999687194824
"HD  45088" "" "HD 45088" "" "06 26 10.2464" "+18 45 24.896" "Variable of BY Dra type" K2Ve 68.460 -0.0000280 6.76800012588501
"HD  45088" "" "HD 45088" "" "06 26 10.2464" "+18 45 24.896" "Variable of BY Dra type" K2Ve 68.460 -0.0000280 6.76800012588501
"HD  45088" "" "HD 45088" "" "06 26 10.2464" "+18 45 24.896" "Variable of BY Dra type" K2Ve 68.460 -0.0000280 6.76800012588501
"Ross  614" "" "" "" "06 29 23.4066" "-02 48 50.270" "Flare Star" M4.5V 242.320 0.0000560 11.071000099182129
"Ross  614B" "" "" "" "06 29 23.52" "-02 48 51.1" "High proper-motion Star" "" "" "" 14.229999542236328
"GJ   235 A" "" "" "" "06 32 18.38" "+52 24 50.2" "Star in double system" "" "" "" ""
"GJ   235 B" "" "" "" "06 32 16.1" "+52 24 41" "Star in double system" "" "" "" 10.5
"L  597-31" "" "" "" "06 32 08.8120" "-27 01 58.172" "High proper-motion Star" K7 33.380 0.0002410 11.404000282287598
"CD-43  2523" "" "" "" "06 31 51.1164" "-43 32 02.550" "Double or multiple star" M0V(k)+M2.5V 42.730 0.0000570 10.565999984741211
"CD-43  2523A" "" "" "" "06 31 51.113" "-43 32 02.66" "High proper-motion Star" M0V(k) "" "" 10.930000305175781
"CD-43  2523B" "" "" "" "06 31 50.920" "-43 32 05.47" "High proper-motion Star" M2.5V "" "" 14.770000457763672
"GJ   238" "" "" "" "06 33 49.9711" "-58 31 42.452" "High proper-motion Star" M2.5 65.680 0.0000560 11.569999694824219
"HD 260655" "" "HD 260655" "" "06 37 10.7989" "+17 33 53.335" "High proper-motion Star" M0.0Ve 99.500 -0.0001940 9.593000411987305
"* nu.02 CMa" "" "HD 47205" "" "06 36 41.0375" "-19 15 21.165" "High proper-motion Star" K1.5III-IVFe1 50.630 0.0000090 3.9100000858306885
"GJ   240" "" "" "" "06 37 11.2253" "-50 02 17.753" "Double or multiple star" K8Vk: 65.120 0.0000340 9.604000091552734
"GJ   240 A" "" "" "" "06 37 11.238" "-50 02 17.80" "High proper-motion Star" "" "" "" 9.899999618530273
"GJ   240 B" "" "" "" "06 37 11.129" "-50 02 19.72" "High proper-motion Star" "" "" "" 12.430000305175781
"HD  46588" "NAME 23 H. Cam" "HD 46588" "" "06 46 14.1501" "+79 33 53.318" "Spectroscopic binary" F7V 55.950 0.0000510 5.449999809265137
"HD  47752" "" "HD 47752" "" "06 41 15.7109" "+23 57 27.772" "High proper-motion Star" K3.5V 57.320 -0.0001470 8.055999755859375
"* ksi Gem" "NAME Alzirr" "HD 48737" "" "06 45 17.3643" "+12 53 44.131" "High proper-motion Star" F5IV-V 55.560 0.0000910 3.359999895095825
"HD  48938" "" "HD 48938" "" "06 44 51.9522" "-27 20 30.001" "High proper-motion Star" G0VFe-0.8CH-0.5 37.130 -0.0000350 6.429999828338623
"* alf CMa A" "NAME Sirius A" "HD 48915A" "" "06 45 08.917" "-16 42 58.02" "Spectroscopic binary" A1V "" -0.0000180 -1.090000033378601
"* alf CMa B" "NAME Sirius C" "HD 48915B" "" "06 45 09.0" "-16 43 06" "White Dwarf" DA1.9 "" "" 8.4399995803833
"* psi05 Aur" "" "HD 48682" "" "06 46 44.3381" "+43 34 38.726" "High proper-motion Star" F9V 59.820 -0.0000800 5.245999813079834
"HD  49095" "" "HD 49095" "" "06 45 22.9346" "-31 47 37.236" "High proper-motion Star" F6.5V 41.020 0.0000960 5.920000076293945
"LAWD 23" "" "" "" "06 47 37.9936" "+37 30 57.072" "White Dwarf" DA2.3 63.530 0.0002670 12.079999923706055
"HD  48948" "" "HD 48948" "" "06 49 57.0256" "+60 20 07.961" "High proper-motion Star" K5 59.130 -0.0001760 8.579999923706055
"* alf Pic" "" "HD 50241" "" "06 48 11.4551" "-61 56 29.000" "High proper-motion Star" A8VnkA6 33.780 0.0000510 3.299999952316284
"* alf Pic" "" "HD 50241" "" "06 48 11.4551" "-61 56 29.000" "High proper-motion Star" A8VnkA6 33.780 0.0000510 3.299999952316284
"HD  49601" "" "HD 49601" "" "06 51 32.3931" "+47 22 04.149" "High proper-motion Star" K6V 53.890 0.0000640 8.979999542236328
"HD  50223" "" "HD 50223" "" "06 49 54.6162" "-46 36 52.419" "High proper-motion Star" F5.5V 39.590 0.0000670 5.139999866485596
"HD  50281" "" "HD 50281" "" "06 52 18.0502" "-05 10 25.367" "High proper-motion Star" K3.5V 114.810 -0.0000230 6.570000171661377
"HD  50281B" "" "HD 50281B" "" "06 52 18.05" "-05 11 24.2" "High proper-motion Star" M2.5V "" -0.0000180 10.050000190734863
"HD 265866" "" "HD 265866" "" "06 54 48.9582" "+33 16 05.441" "High proper-motion Star" M3V 180.320 0.0000760 10.109999656677246
"BD+12  1343" "" "" "" "06 54 56.9825" "+12 09 29.179" "High proper-motion Star" M1.5V 17.550 0.0000500 10.640000343322754
"*  37 Gem" "" "HD 50692" "" "06 55 18.6675" "+25 22 32.515" Star G0V 58.000 -0.0000500 5.748000144958496
"HD  51608" "" "HD 51608" "" "06 54 51.3408" "-55 15 33.581" "High proper-motion Star" K0IV-V 28.590 0.0001330 8.170000076293945
"HD 266611" "" "HD 266611" "" "06 57 04.6890" "+30 45 23.373" "High proper-motion Star" K5V 54.470 -0.0000470 9.744999885559082
"HD  51825" "" "HD 51825" "" "06 57 17.5842" "-35 30 25.757" "Double or multiple star" F5V 23.200 0.0000260 6.223999977111816
"HD  51849" "" "HD 51849" "" "06 58 26.0514" "-12 59 30.575" "Double or multiple star" K4V 46.080 -0.0000150 9.156999588012695
"CD-44  3045" "" "" "" "06 57 46.6026" "-44 17 28.311" "Double or multiple star" M3.5V 124.850 -0.0000680 10.845999717712402
"GJ   257.0" "" "" "" "" "" Star "" "" "" ""
"CD-44  3045A" "" "" "" "06 57 47.462" "-44 17 28.07" "High proper-motion Star" M3 "" "" 11.479999542236328
"CD-44  3045B" "" "" "" "06 57 47.449" "-44 17 26.61" "High proper-motion Star" M3 "" "" 11.289999961853027
"HD  51866" "" "HD 51866" "" "07 01 38.5870" "+48 22 43.223" "High proper-motion Star" K3V 49.790 -0.0000720 8.0
"G 250-33" "" "" "" "07 04 25.9415" "+68 17 19.653" "High proper-motion Star" M3.0Ve 61.780 -0.0001450 11.895000457763672
"HD  52698" "" "HD 52698" "" "07 01 13.7368" "-25 56 55.412" "High proper-motion Star" K1V 68.270 0.0000400 6.688000202178955
"HD  53143" "" "HD 53143" "" "06 59 59.6551" "-61 20 10.253" "High proper-motion Star" G9V 54.540 0.0000740 6.802999973297119
"L  886-6" "" "" "" "07 01 54.848" "-06 27 45.29" "White Dwarf" DA7.6 81.000 "" 15.420000076293945
"HD  52711" "" "HD 52711" "" "07 03 30.4582" "+29 20 13.486" "High proper-motion Star" G0V 52.270 0.0000820 5.929999828338623
"Ross   54" "" "" "" "07 04 17.7065" "-10 30 31.709" "High proper-motion Star" M3.5 62.410 -0.0000190 11.303000450134277
"Ross   54" "" "" "" "07 04 17.7065" "-10 30 31.709" "High proper-motion Star" M3.5 62.410 -0.0000190 11.303000450134277
"HD  53680" "" "HD 53680" "" "07 03 50.2355" "-43 33 40.816" "High proper-motion Star" K6V 57.420 0.0002940 8.685999870300293
"HD  53705" "" "HD 53705" "" "07 03 57.3156" "-43 36 28.929" "High proper-motion Star" G1.5V 59.410 0.0002990 5.28000020980835
"HD  53706" "" "HD 53706" "" "07 03 58.9206" "-43 36 40.871" "High proper-motion Star" K0.5V 58.880 0.0002970 6.85099983215332
"BD+27  1311" "" "" "" "07 05 42.2438" "+27 28 14.985" "High proper-motion Star" K7V 44.010 -0.0000700 10.184000015258789
"BD+27  1311B" "" "" "" "07 05 41.584" "+27 28 24.45" "High proper-motion Star" K2: "" "" 14.630000114440918
"BD+03  1552" "" "" "" "07 07 09.3096" "+03 26 50.800" "High proper-motion Star" K5 39.180 -0.0000900 9.869999885559082
"HD  54359" "" "HD 54359" "" "07 08 09.3065" "-09 58 07.336" "High proper-motion Star" K2V 35.420 0.0000890 8.869999885559082
"V* QY Aur" "" "" "" "07 10 01.8345" "+38 31 46.067" "Variable of RS CVn type" M4.5Ve 158.870 0.0001260 11.519000053405762
"V* QY Aur" "" "" "" "07 10 01.8345" "+38 31 46.067" "Variable of RS CVn type" M4.5Ve 158.870 0.0001260 11.519000053405762
"V* QY Aur" "" "" "" "07 10 01.8345" "+38 31 46.067" "Variable of RS CVn type" M4.5Ve 158.870 0.0001260 11.519000053405762
"* I Pup" "" "HD 55892" "" "07 12 33.6249" "-46 45 33.494" "Variable Star of alpha2 CVn type" F3VFe-1.0 46.670 0.0000000 4.489999771118164
"HD  56533" "" "HD 56533" "" "07 13 07.0895" "-63 20 41.812" "High proper-motion Star" K6Vk: 51.330 0.0000530 9.079000473022461
"G 109-55" "" "" "" "07 16 19.7771" "+27 08 32.994" "High proper-motion Star" M3V 83.090 -0.0000290 10.86299991607666
"G 109-55" "" "" "" "07 16 19.7771" "+27 08 32.994" "High proper-motion Star" M3V 83.090 -0.0000290 10.86299991607666
"HD  56640" "" "HD 56640" "" "07 15 56.4621" "-41 01 48.040" "High proper-motion Star" G3/5V 16.390 0.0000540 9.09000015258789
"Ross   56" "" "" "" "07 17 28.987" "-14 00 17.24" "High proper-motion Star" K5 43.600 "" 12.109999656677246
"HD  57095" "" "HD 57095" "" "07 17 29.5619" "-46 58 45.275" "Double or multiple star" K1V+K4V 68.520 0.0001970 6.669000148773193
"HD  57095A" "" "HD 57095A" "" "07 17 29.565" "-46 58 45.32" "High proper-motion Star" K1V "" "" 7.099999904632568
"HD  57095B" "" "HD 57095B" "" "07 17 29.519" "-46 58 46.01" "High proper-motion Star" K4V "" "" 8.220000267028809
"BD+33  1505" "" "" "" "07 19 31.2715" "+32 49 48.323" "High proper-motion Star" M0V 56.810 -0.0002270 10.050000190734863
"* del Gem" "NAME Wasat" "HD 56986" "" "07 20 07.3797" "+21 58 56.337" "Spectroscopic binary" A8V+K6V 53.940 0.0000140 3.5299999713897705
"* del Gem A" "" "" "" "07 20 07.389" "+21 58 56.42" Star F2VkF0mF0 "" "" 3.5179998874664307
"* del Gem B" "" "" "" "07 20 07.102" "+21 58 52.65" Star K6V "" 0.0000070 8.180000305175781
"G 107-65" "" "" "" "07 23 14.8953" "+46 05 14.683" "High proper-motion Star" M1V 59.540 -0.0001030 10.420000076293945
"BD+05  1668" "NAME Luyten's star" "" "" "07 27 24.4997" "+05 13 32.833" "High proper-motion Star" M3.5V 262.980 0.0000610 9.871999740600586
"V* V376 Gem" "" "" "" "07 29 01.7688" "+31 59 37.835" "Variable of BY Dra type" K2.5V 55.050 -0.0000130 7.710000038146973
"* rho Gem" "" "HD 58946" "" "07 29 06.7188" "+31 47 04.377" "Double or multiple star" F1V 55.410 -0.0000120 4.179999828338623
"* rho Gem" "" "HD 58946" "" "07 29 06.7188" "+31 47 04.377" "Double or multiple star" F1V 55.410 -0.0000120 4.179999828338623
"* rho Gem B" "" "" "" "07 29 06.0" "+31 47 04" Star M5 "" "" 12.5
"HD  59468" "" "HD 59468" "" "07 27 25.4642" "-51 24 09.361" "High proper-motion Star" G6.5V 44.610 0.0000160 6.714000225067139
"G 250-49" "" "" "" "07 32 02.0193" "+68 37 15.535" "High proper-motion Star" M1.5Ve 43.600 -0.0000590 10.798999786376953
"G 107-69" "" "" "" "07 30 42.80" "+48 12 00.0" "High proper-motion Star" M4V 96.200 -0.0707260 13.520000457763672
"EGGR  52" "" "" "" "07 30 47.36" "+48 10 27.6" "White Dwarf" DC9 83.484 -0.0000030 14.619999885559082
"HD  59582" "" "HD 59582" "" "07 31 07.7116" "+14 36 50.915" "High proper-motion Star" K5 48.460 0.0002190 8.925999641418457
"BD+36  1638" "" "" "" "07 31 57.7172" "+36 13 09.793" "Flare Star" M2.5V 84.260 -0.0000000 10.62399959564209
"Ross  989" "" "" "" "07 31 57.3319" "+36 13 47.384" "Variable of BY Dra type" M4.0V 83.460 -0.0000020 11.73799991607666
"LHS  6128" "" "" "" "07 34 27.4331" "+62 56 29.359" "High proper-motion Star" M0V 85.210 -0.0001380 10.390000343322754
"* alf Gem" "NAME Castor AB" "HD 60178J" "" "07 34 35.8731" "+31 53 17.816" "Double or multiple star" A1V+A2Vm 64.120 0.0000180 1.5800000429153442
"* alf Gem A" "NAME Castor A" "HD 60179" "" "07 34 35.863" "+31 53 17.79" "Spectroscopic binary" A1.5IV+ "" 0.0000200 1.9299999475479126
"* alf Gem B" "NAME Castor B" "HD 60178" "" "07 34 36.100" "+31 53 18.57" "Spectroscopic binary" kA0hA2:mA1IVs "" -0.0000040 2.9700000286102295
"* alf Gem C" "NAME Castor C" "HD 60179C" "" "07 34 37.584" "+31 52 11.05" "Variable of BY Dra type" M0.5VeFe-2 "" 0.0000080 9.270000457763672
"* alf Gem C" "NAME Castor C" "HD 60179C" "" "07 34 37.584" "+31 52 11.05" "Variable of BY Dra type" M0.5VeFe-2 "" 0.0000080 9.270000457763672
"HD  60532" "" "HD 60532" "" "07 34 03.1808" "-22 17 45.839" "High proper-motion Star" F6IV-V 39.530 0.0002040 4.389999866485596
"* alf CMi" "NAME Procyon" "HD 61421" "" "07 39 18.1195" "+05 13 29.955" "Spectroscopic binary" F5IV-V+DQZ 284.560 -0.0000110 0.3700000047683716
"* alf CMi" "NAME Procyon" "HD 61421" "" "07 39 18.1195" "+05 13 29.955" "Spectroscopic binary" F5IV-V+DQZ 284.560 -0.0000110 0.3700000047683716
"* alf CMi B" "NAME Procyon B" "" "" "07 39 17.88" "+05 13 26.8" "White Dwarf" DQZ "" "" 10.920000076293945
"BD+02  1729" "" "" "" "07 39 23.0390" "+02 11 01.194" "High proper-motion Star" M0.0Ve 66.380 0.0000670 9.58899974822998
"** BGH   25" "" "" "" "07 39 59.33" "-03 35 51.0" "Double or multiple star" "" "" "" ""
"HD  61606" "" "HD 61606" "" "07 39 59.3286" "-03 35 51.027" "Variable of BY Dra type" K0/2V 71.070 -0.0000610 7.169000148773193
"HD  61606B" "" "HD 61606B" "" "07 40 02.9007" "-03 36 13.233" "High proper-motion Star" K7V 71.170 -0.0000670 8.930000305175781
"BD-02  2198" "" "" "" "07 36 07.0902" "-03 06 39.002" "High proper-motion Star" M1.0V 69.910 -0.0000760 9.871000289916992
"LAWD 25" "" "" "" "07 40 20.794" "-17 24 49.20" "White Dwarf" DAZ6 109.790 -0.0000330 13.060999870300293
"GJ   283 B" "" "" "" "07 40 19.22" "-17 24 45.0" "High proper-motion Star" M6.5Ve 109.870 "" 16.695999145507812
"HD  62644" "" "HD 62644" "" "07 42 57.0966" "-45 10 23.226" "High proper-motion Star" G8IV-V 40.530 0.0000930 5.039999961853027
"V* YZ CMi" "" "" "" "07 44 40.1740" "+03 33 08.835" "Variable of BY Dra type" M4.0Ve 167.880 0.0000880 11.225000381469727
"HD  61994" "" "HD 61994" "" "07 47 30.5822" "+70 12 24.001" "High proper-motion Star" G6V 37.450 -0.0000570 7.079999923706055
"* bet Gem" "NAME Pollux" "HD 62509" "" "07 45 18.9498" "+28 01 34.316" "High proper-motion Star" K0IIIb 96.540 0.0000110 1.1399999856948853
"BD+02  1766" "" "" "" "07 45 01.1800" "+02 08 14.587" "High proper-motion Star" K7V 38.140 -0.0001150 10.170000076293945
"* 171 Pup" "" "HD 63077" "" "07 45 35.0216" "-34 10 20.514" "Double or multiple star" F9V 65.750 0.0003540 5.369999885559082
"* 171 Pup B" "" "HD 63077B" "" "07 45 38.45" "-33 55 52.8" "White Dwarf" DC10 "" "" 16.700000762939453
"Wolf 1421" "" "" "" "07 48 16.3856" "+20 22 05.252" "High proper-motion Star" M1.5Ve 68.440 0.0001770 11.418000221252441
"HD  62613" "" "HD 62613" "" "07 56 17.2289" "+80 15 55.953" "High proper-motion Star" G8V 58.480 -0.0000260 6.559999942779541
"*   9 Pup" "" "HD 64096" "" "07 51 46.3029" "-13 53 52.916" "Spectroscopic binary" G0V 60.590 -0.0000710 5.159999847412109
